layer,figure,question,baseline,hierarchical_result,interpretation
Account review,Figure 1,Does hierarchy improve finite-budget account triage?,"learned flat HW recall 0.453, precision 0.907","learned hierarchy HW recall 0.585, precision 1.000",Hierarchy improves harm capture at the account-review layer while retaining high precision.
State components,Figure 2,Does each state field resolve a distinct failure mode?,"ablated false-selection rates: uncertainty 0.931, signature 1.000, provenance 1.000","full hierarchy false-selection rates: uncertainty 0.000, signature 0.247, provenance 0.000","Targeted ablations show uncertainty, signature/campaign, and provenance each suppress a different hard-negative failure mode."
Calibration,Figure 3,Does hierarchical state preserve useful score calibration?,"learned flat ECE 0.077, Brier 0.099","learned hierarchy ECE 0.037, Brier 0.024",The learned hierarchy is better calibrated than the learned flat model in this held-out run.
System alerts,Figure 3,Can system-level state surface weak coordinated exploits?,"signature mean-risk hit rate 0.000, rank 12.000","typed hierarchy hit rate 0.000, rank 9.625","System-level state improves exploit ranking, while false systemic alerts remain a central constraint."
Routing,Figure 4,Does hierarchy improve operational escalation quality?,"learned flat macro F1 0.690, utility 0.183","learned hierarchy macro F1 0.795, utility 1.451",Hierarchy adds policy/product routing capacity beyond binary account review.
False-systemic stress,Figure 5,Does hierarchy avoid over-alerting on benign coordination?,typed rule hierarchy product-routes 0.506 of adversarial lookalikes,learned hierarchy product-routes 0.025 of adversarial lookalikes,Learned hierarchical state suppresses most benign coordinated false product investigations; brittle rule hierarchy does not.
Product-alert frontier,Figure 5B,What is the tradeoff between product recall and benign systemic false alerts?,"low penalty misses 128, false systemic alerts 4","high penalty misses 153, false systemic alerts 0",The hierarchy exposes an operating frontier rather than a single best threshold.
Workload/time-to-alert,Figure 6A,Does routing quality translate into practical analyst workload?,"typed rule hierarchy 4324.750 analyst hours, false product investigations 1007","learned hierarchy 1891.500 analyst hours, false product investigations 122",Learned hierarchy preserves product-campaign alerting with much lower workload than brittle system rules.
Deduplicated backlog,Figure 6B,Does finite analyst capacity preserve the hierarchy advantage?,"typed rule hierarchy peak backlog 1118.750, false unique alerts 30","learned hierarchy peak backlog 545.500, false unique alerts 11","Deduplication reduces repeated alerts, but backlog remains a capacity-planning constraint."
Priority queues,Figure 6C,Can scarce analyst capacity protect product-level response?,"FIFO p90 product delay 214.896 h, 48h resolution 0.476","product-first p90 product delay 40.124 h, 48h resolution 1.000",Priority queueing sharply improves product response while shifting some backlog to non-product work.
